,title,sub_title,brand,color_breif,fullPrice,currentPrice,country,availability,publish_date,created_date,discount_amount,asof_date
672,Nike Air Max 95 By You,Custom Men's Shoe,Nike Sportswear,Multi-Colour/Multi-Colour/Multi-Colour/Multi-Colour,179.95,179.95,GB,True,2022-06-07T16:00:00.000Z,2023-04-06T06:04:53.446Z,0.0,2023-04-16
673,Nike Infinity Pro 2,Men's Golf Shoes,Nike,Phantom/Bright Crimson/White/Midnight Navy,114.95,114.95,GB,True,2023-03-23T08:00:00.000Z,2023-04-06T22:12:48.825Z,0.0,2023-04-16
674,Nike Metcon 8 By You,Custom Men's Training Shoes,NIKEiD,Multi-Colour/Multi-Colour/Multi-Colour/Multi-Colour,152.95,152.95,GB,True,2022-07-18T16:00:00.000Z,2023-04-06T06:45:22.746Z,0.0,2023-04-16
675,Nike Revolution 6 Next Nature,Men's Road Running Shoes,Nike,Midnight Navy/Obsidian/Ashen Slate/White,59.95,59.95,GB,True,2021-09-30T22:00:00.000Z,2023-04-15T19:07:06.704Z,0.0,2023-04-16
676,Nike Zoom Superfly Elite 2,Athletics Sprinting Spikes,Nike,Hyper Pink/Laser Orange/Black,159.95,159.95,GB,True,2023-02-06T08:00:00.000Z,2023-04-06T21:13:35.288Z,0.0,2023-04-16
677,Jumpman Two Trey,Men's Shoes,Jordan,White/Black/Game Royal,134.95,134.95,GB,True,2023-04-13T07:00:00.000Z,2023-04-15T20:56:02.665Z,0.0,2023-04-16
678,Nike Metcon 8 AMP,Men's Training Shoes,Nike,Deep Purple/Barely Volt/Blackened Blue/Baltic Blue,134.95,134.95,GB,True,2023-01-09T08:00:00.000Z,2023-04-11T21:12:45.661Z,0.0,2023-04-16
679,NikeCourt Air Zoom NXT,Men's Clay Court Tennis Shoes,Nike,Mineral Teal/Gridiron/Bright Cactus/Sail,144.95,144.95,GB,True,2023-03-24T08:00:00.000Z,2023-04-06T06:32:19.586Z,0.0,2023-04-16
680,NikeCourt Zoom Vapor Cage 4 Rafa,Men's Hard Court Tennis Shoes,Nike,Baltic Blue/Green Abyss/White/Vivid Orange,144.95,144.95,GB,True,2023-01-12T08:00:00.000Z,2023-04-13T09:20:56.411Z,0.0,2023-04-16
681,ACG Air Deschutz+,Sandals,NikeLab,Ashen Slate/Ashen Slate/Black/Hemp,69.95,69.95,GB,False,2022-05-13T06:42:00.000Z,2023-04-15T08:05:42.519Z,0.0,2023-04-16
682,Nike Air Huarache Premium,Men's Shoes,Nike Sportswear,Sail/Black/White/Hemp,124.95,124.95,GB,True,2023-01-30T08:00:00.000Z,2023-04-13T09:42:55.592Z,0.0,2023-04-16
683,Nike Dunk High Retro,Men's Shoes,Nike Sportswear,White/University Red/Sail/Game Royal,114.95,68.97,GB,True,2022-07-11T08:27:00.000Z,2023-04-13T15:56:30.774Z,45.980000000000004,2023-04-16
684,NikeCourt Air Zoom Vapor AJ3,Men's Hard Court Tennis Shoes,Nike,White/Black/Dark Grey/Racer Blue,199.95,199.95,GB,True,2023-04-14T07:00:00.000Z,2023-04-14T14:46:40.881Z,0.0,2023-04-16
685,Nike Zoom Mercurial Dream Speed Vapor 15 Academy TF,Turf Football Shoes,Nike,Cobalt Bliss/Fuchsia Dream/Hot Punch/Black,79.95,79.95,GB,True,2023-02-16T08:00:00.000Z,2023-04-06T06:31:32.394Z,0.0,2023-04-16
686,Nike Tiempo Legend 9 Elite FG,Firm-Ground Football Boot,Nike,Black/Summit White/Light Photo Blue/Dark Smoke Grey,214.95,214.95,GB,True,2022-12-28T08:00:00.000Z,2023-04-13T11:58:58.181Z,0.0,2023-04-16
